"Organization Name",Address,"NLRB Case Numbers","Petition File Date","Vote Count Date","Election Yes Votes","Election No Votes","Election Challenged Votes",Percentage,"Store Organizing Status",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Illinois (IL) : Madison & Wells - 13319","200 W Madison St, Chicago IL 60606-3414",13-RC-336101,2/20/2024,4/3/2024,4,4,,50,"Lost election",41.882309,-87.634661,1,rooftop,200,"W Madison St",,,Chicago,IL,"Cook County",60606,US,"City of Chicago"
"Illinois (IL) : Peoria-Knoxville & Pioneer - 11622","707 W Pioneer Pkwy Ste 101, Peoria IL 61615-2107",25-RC-295115,5/3/2022,6/13/2022,2,2,,50,"Lost election",40.783874,-89.603128,1,rooftop,707,"W Pioneer Pkwy",Ste,101,Peoria,IL,"Peoria County",61615,US,Peoria
"Illinois (IL) : Randolph & Wabash - 63483","155 N Wabash Ave, Chicago IL 60601-3605",13-RC-288328,1/30/2022,6/7/2022,6,7,0,46.15384615,"Lost election",41.884708,-87.626102,1,range_interpolation,155,"N Wabash Ave",,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
"Illinois (IL) : Wacker & Adams - Willis Tower - 2261","233 S Wacker Dr, Chicago IL 60606-7147",13-RC-306109,10/26/2022,12/8/2022,8,9,,47.05882353,"Lost election",41.878666,-87.635874,1,rooftop,233,"S Wacker Dr",,,Chicago,IL,"Cook County",60606,US,Cook
"Kansas (KS) : 21st & Amidon - 2761","2166 N Amidon Ave, Wichita KS 67203-2115",14-RC-296161,5/20/2022,8/1/2022,5,6,0,45.45454545,"Lost election",37.721595,-97.362706,1,rooftop,2166,"N Amidon Ave",,,Wichita,KS,"Sedgwick County",67203,US,"City of Wichita"
"Kansas (KS) : Central and Tyler - 23874","8971 W Central Ave, Wichita KS 67212-3804",14-RC-333788,1/17/2024,2/21/2024,5,13,,27.77777778,"Lost election",37.693562,-97.44645,1,rooftop,8971,"W Central Ave",,,Wichita,KS,"Sedgwick County",67212,US,"City of Wichita"
"Louisiana (LA) : Amb. Caffery Pkwy & Settlers Trace - 14213","4300 Ambassador Caffery Pkwy, Lafayette LA 70508-6704",15-RC-298956,7/8/2022,9/14/2022,10,10,,50,"Lost election",30.159133,-92.052319,1,rooftop,4300,"Ambassador Caffery Pkwy",,,Lafayette,LA,"Lafayette Parish",70508,US,Lafayette
"Maryland (MD) : 1111 S. Salisbury Blvd - 17797","1111 S Salisbury Blvd, Salisbury MD 21801-6836",05-RC-311740,1/27/2023,3/8/2023,4,17,,19.04761905,"Lost election",38.347786,-75.601946,1,rooftop,1111,"S Salisbury Blvd",,,Salisbury,MD,"Wicomico County",21801,US,Wicomico
"Maryland (MD) : Riverdale Park - 22910","4501 Van Buren St, Riverdale Park MD 20737-1080",05-RC-343660,6/4/2024,6/18/2024,3,4,,42.85714286,"Lost election",38.969476,-76.936644,1,rooftop,4501,"Van Buren St",,,Riverdale,MD,"Prince George's County",20737,US,"Prince Georges"
"Massachusetts (MA) : 125 Summer St. - 10599","125 Summer St, Boston MA 02110-1616",01-RC-290850,2/17/2022,7/14/2022,4,10,1,28.57142857,"Lost election",42.353132,-71.057424,1,rooftop,125,"Summer St",,,Boston,MA,"Suffolk County",02110,US,"City of Boston"
"Massachusetts (MA) : Newtonville - 7384","18 Austin St, Newtonville, MA 02460",01-RC-290847,2/17/2022,6/30/2022,2,5,2,28.57142857,"Lost election",42.350408,-71.207571,1,rooftop,18,"Austin St",,,Newtonville,MA,"Middlesex County",02460,US,"Town of Newton"
"Massachusetts (MA) : Reading, Route 28 - 7772","288 Main St, Reading MA 01867-3612",01-RC-298347,6/27/2022,8/31/2022,7,9,0,43.75,"Lost election",42.515593,-71.104078,1,rooftop,288,"Main St",,,Reading,MA,"Middlesex County",01867,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"Massachusetts (MA) : Waltham, Market Place Drive - 20891","12 Market Place Dr, Waltham, MA 02451",01-RC-307310,11/17/2022,1/20/2023,8,15,,34.7826087,"Lost election",42.381056,-71.263213,1,rooftop,12,"Market Place Dr",,,Waltham,MA,"Middlesex County",02451,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"Michigan (MI) : Grand Blanc - S Saginaw - 2722","11355 S Saginaw St, Grand Blanc, MI 48439",07-RC-289860,1/31/2022,6/9/2022,8,13,1,38.0952381,"Lost election",42.928828,-83.630461,1,rooftop,11355,"S Saginaw St",,,"Grand Blanc",MI,"Genesee County",48439,US,Genesee
"Michigan (MI) : S. University & Church - 2482","1214 S University Ave, Ann Arbor MI 48104-2548",07-RC-290313,2/8/2022,6/7/2022,10,16,1,38.46153846,"Lost election",42.2748,-83.733845,1,rooftop,1214,"S University Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"Minnesota (MN) : 5351 Lyndale Avenue South - 288","5351 Lyndale Ave S, Minneapolis MN 55419-1229",18-RC-293227,3/30/2022,6/14/2022,5,6,0,45.45454545,"Lost election",44.905201,-93.288061,1,rooftop,5351,"Lyndale Ave S",,,Minneapolis,MN,"Hennepin County",55419,US,Hennepin
"Minnesota (MN) : Hwy 169 & Anderson Lakes Pkwy - 2366","9250 Hennepin Town Rd, Eden Prairie MN 55347-2825",18-RC-294643,4/22/2022,7/1/2022,8,9,,47.05882353,"Lost election",44.833116,-93.398938,1,range_interpolation,9250,"Hennepin Town Rd",,,"Eden Prairie",MN,"Hennepin County",55347,US,"TIGER/Line® dataset from the US Census Bureau"
"Missouri (MO) : 5th & Boonslick - 9917","1030 S 5th St, Saint Charles MO 63301-2419",14-RC-297892,6/21/2022,8/31/2022,4,11,3,26.66666667,"Lost election",38.773809,-90.490647,1,rooftop,1030,"S 5th St",,,"Saint Charles",MO,"St. Charles County",63301,US,"St Charles"
"Missouri (MO) : Clarkson & Baxter - 2522","1720 Clarkson Rd, Chesterfield MO 63017-4976",14-RC-293917,4/12/2022,7/1/2022,6,7,1,46.15384615,"Lost election",38.642239,-90.566232,1,rooftop,1720,"Clarkson Rd",,,Chesterfield,MO,"St. Louis County",63017,US,"St Louis (CC0)"
"Missouri (MO) : Lindbergh & St Charles Rock Rd - 47442","995 Northwest Plaza Dr, Saint Ann MO 63074-2207",14-RC-331483,12/7/2023,1/22/2024,8,11,,42.10526316,"Lost election",38.736145,-90.398615,1,rooftop,995,"NW Plaza Dr",,,"Saint Ann",MO,"St. Louis County",63074,US,"St Louis (CC0)"
"Missouri (MO) : Natural Bridge & St Charles Rock Rd - 62677","12419 Saint Charles Rock Rd, Bridgeton MO 63044-2507",14-RC-293357,4/1/2022,6/13/2022,9,14,1,39.13043478,"Lost election",38.755522,-90.430004,1,rooftop,12419,"St Charles Rock Rd",,,Bridgeton,MO,"St. Louis County",63044,US,"St Louis (CC0)"
"New Jersey (NJ) : 600 Route 38 Cherry Hill - 23126","600 Route 38, Cherry Hill NJ 08002-2934",04-RC-317180,5/1/2023,5/31/2023,4,16,,20,"Lost election",39.936656,-75.045089,1,rooftop,600,"State Highway 38",,,"Cherry Hill",NJ,"Camden County",08002,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"New Jersey (NJ) : Robbinsville - 2325 RT 33 - 48181","2325 Route 33, Robbinsville NJ 08691-1412",22-RC-341333,5/1/2024,5/16/2024,8,14,,36.36363636,"Lost election",40.220697,-74.635411,1,range_interpolation,2325,"State Rte 33",,,Trenton,NJ,"Mercer County",08691,US,"TIGER/Line® dataset from the US Census Bureau"
"New York (NY) : 32BJ : 40th & 8th w/Amazon Go - 66212 - 66212","620 8th Ave, New York NY 10018-1618",02-RC-306188,10/28/2022,12/15/2022,13,14,,48.14814815,"Lost election",40.756209,-73.9903,1,rooftop,620,"8th Ave",,,"New York",NY,"New York County",10018,US,"City of New York"
"New York (NY) : NYNJJB : 6 Metro Tech at Jay Street - 11809","6 Metrotech Ctr, Brooklyn NY 11201-3840",29-RC-343445,5/31/2024,6/20/2024,4,10,,28.57142857,"Lost election",40.69417,-73.986839,1,rooftop,6,"Metrotech Ctr",,,Brooklyn,NY,"Kings County",11201,US,"City of New York"
"New York (NY) : NYNJJB : Great Neck - The Gardens - 884","6 Great Neck Rd, Great Neck NY 11021-3305",29-RC-290364,2/10/2022,5/3/2022,5,6,1,45.45454545,"Lost election",40.785913,-73.725997,1,rooftop,6,"Great Neck Rd",,,"Great Neck",NY,"Nassau County",11021,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
"New York (NY) : Upstate NY : Hamburg, Camp Road - 59087","5120 Camp Rd, Hamburg, NY 14075",03-RC-282127,8/30/2021,11/10/2021,8,12,2,40,"Lost election",42.747326,-78.853056,1,range_interpolation,5120,"Camp Rd",,,Hamburg,NY,"Erie County",14075,US,"TIGER/Line® dataset from the US Census Bureau"
"New York (NY) : Upstate NY : Penfield, Parkside Commons - 65865","2071 Fairport 9 Mile Point Rd, Penfield, NY 14526",03-RC-308945,12/15/2022,2/3/2023,4,9,,30.76923077,"Lost election",43.132956,-77.441829,1,range_interpolation,2071,"Fairport 9 Mile Point Rd",,,Penfield,NY,"Monroe County",14526,US,"TIGER/Line® dataset from the US Census Bureau"
"New York (NY) : Upstate NY : Walden & Anderson - 7949","1775 Walden Ave # 500, Cheektowaga NY 14225-4920",03-RC-285929,11/9/2021,7/15/2022,8,9,0,47.05882353,"Lost election",42.908214,-78.770613,1,rooftop,1775,"Walden Ave",#,500,Buffalo,NY,"Erie County",14225,US,Erie
"North Carolina (NC) : 2822 NC 24-87","2822 NC 24 24, Cameron, NC 28326",10-RC-313666,3/8/2023,4/13/2023,7,17,,29.16666667,"Lost election",35.325544,-79.271251,1,range_interpolation,2822,"State Hwy 24",,,Cameron,NC,"Moore County",28326,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina (NC) : Charlotte St. - 8598","62 Charlotte St, Asheville NC 28801-2434",10-RC-293160,3/29/2022,5/11/2022,6,11,0,35.29411765,"Lost election",35.601519,-82.547075,1,rooftop,62,"Charlotte St",,,Asheville,NC,"Buncombe County",28801,US,Buncombe
"North Carolina (NC) : Page Rd & Slater Rd - 10564","1119 Slater Rd, Durham, NC 27703",10-RC-294066,4/15/2022,5/26/2022,9,19,1,32.14285714,"Lost election",35.879522,-78.847153,1,rooftop,1119,"Slater Rd",,,Durham,NC,"Durham County",27703,US,Durham
