"Organization Name",Address,"NLRB Case Numbers","Petition File Date","Vote Count Date","Election Yes Votes","Election No Votes","Election Challenged Votes",Percentage,"Store Organizing Status",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"California (CA) : Southern California : Fairfax & Olympic - 5577","6066 W Olympic Blvd, Los Angeles CA 90036-4402",31-RC-296439,5/24/2022,8/3/2022,8,4,0,66.66666667,"6. Joining the Fight To Win (Post-Election Victory)",34.05792,-118.36367,1,rooftop,6066,"W Olympic Blvd",,,"Los Angeles",CA,"Los Angeles County",90036,US,"City of Los Angeles (CC0 1.0)"
"California (CA) : Southern California : Figueroa & Cypress - 55230","3241 N Figueroa St, Los Angeles CA 90065-1525",31-RC-296098,5/19/2022,8/2/2022,21,2,1,91.30434783,"6. Joining the Fight To Win (Post-Election Victory)",34.08636,-118.21941,1,rooftop,3241,"N Figueroa St",,,"Los Angeles",CA,"Los Angeles County",90065,US,"City of Los Angeles (CC0 1.0)"
"California (CA) : Southern California : Highland & 30th - 6487","3001 Highland Ave, National City CA 91950-7416",21-RC-333674,1/16/2024,2/22/2024,21,3,,87.5,"6. Joining the Fight To Win (Post-Election Victory)",32.659298,-117.091316,1,range_interpolation,3001,"Highland Ave",,,"National City",CA,"San Diego County",91950,US,"TIGER/Line® dataset from the US Census Bureau"
"California (CA) : Southern California : Hwy 111 & Jefferson, La Quinta - 14277","79845 Hwy 111 104, La Quinta, CA 92253",21-RC-293884,4/11/2022,6/22/2022,5,4,0,55.55555556,"6. Joining the Fight To Win (Post-Election Victory)",33.706798,-116.27147,1,rooftop,79845,"Hwy 111",,104,"La Quinta",CA,"Riverside County",92253,US,Riverside
"California (CA) : Southern California : Hwy 111 & Monroe - 8709 - Indio CA","81952 US Highway 111 Ste A, Indio CA 92201-9716",21-RC-316509,4/19/2023,5/25/2023,17,5,,77.27272727,"6. Joining the Fight To Win (Post-Election Victory)",33.714584,-116.234505,1,rooftop,81952,"Highway 111",Ste,A,Indio,CA,"Riverside County",92201,US,Riverside
"California (CA) : Southern California : Iowa & University - 5370","1303 University Ave, Riverside CA 92507-4446",21-RC-296247,5/20/2022,7/29/2022,3,1,0,75,"6. Joining the Fight To Win (Post-Election Victory)",33.975958,-117.340265,1,rooftop,1303,"University Ave",,,Riverside,CA,"Riverside County",92507,US,"City of Riverside"
"California (CA) : Southern California : Katella & Anaheim - 54260","131 E Katella Ave Ste 10, Anaheim CA 92802-3700",21-RC-292957,3/24/2022,6/9/2022,10,1,3,90.90909091,"6. Joining the Fight To Win (Post-Election Victory)",33.803716,-117.905419,1,rooftop,131,"E Katella Ave",Ste,10,Anaheim,CA,"Orange County",92802,US,"City of Anaheim"
"California (CA) : Southern California : Lenwood Road & Mercantile Way - 5524 - Barstow CA","2489 Lenwood Rd, Barstow, CA",31-RC-295959,5/17/2022,7/27/2022,9,3,0,75,"6. Joining the Fight To Win (Post-Election Victory)",34.871803,-117.117846,0.7,street_center,,"Lenwood Rd",,,Barstow,CA,"San Bernardino County",92311,US,"TIGER/Line® dataset from the US Census Bureau"
"California (CA) : Southern California : Leucadia & I-5 San Diego - 16521","905 Orpheus Ave Ste 103, Encinitas CA 92024-2197",21-RC-316047,4/12/2023,5/19/2023,21,2,,91.30434783,"6. Joining the Fight To Win (Post-Election Victory)",33.065593,-117.293351,1,rooftop,905,"Orpheus Ave",Ste,103,Encinitas,CA,"San Diego County",92024,US,"San Diego Geographic Information Source - JPA"
"California (CA) : Southern California : Newall & Carl Ct - 10182","23790 Newhall Ave, Santa Clarita CA 91321-3125",31-RC-341365,5/1/2024,5/15/2024,14,8,,63.63636364,"6. Joining the Fight To Win (Post-Election Victory)",34.372205,-118.516226,1,rooftop,23790,"Newhall Ave",,,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
